id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
1,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
2,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
3,14 Herculis b,58,8.053 Jupiters,6.61935,2002
4,16 Cygni B b,69,1.78 Jupiters,6.215,1996
5,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
6,18 Delphini b,249,10.3 Jupiters,5.51048,2008
7,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
8,24 Bootis b,313,0.91 Jupiters,5.59,2018
9,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
10,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
11,2M0437 b,419,4 Jupiters,16.186,2021
12,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
13,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
14,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
15,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
16,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
17,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
18,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
19,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
20,42 Draconis b,296,3.88 Jupiters,4.8262,2008
21,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
22,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
23,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
24,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
25,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
26,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
27,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
28,14 Herculis b,58,8.053 Jupiters,6.61935,2002
29,16 Cygni B b,69,1.78 Jupiters,6.215,1996
30,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
31,18 Delphini b,249,10.3 Jupiters,5.51048,2008
32,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
33,24 Bootis b,313,0.91 Jupiters,5.59,2018
34,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
35,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
36,2M0437 b,419,4 Jupiters,16.186,2021
37,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
38,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
49,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,8.053 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
74,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
75,51 Eridani b,97,2 Jupiters,5.21149,2015
76,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
77,55 Cancri b,41,0.8306 Jupiters,5.96,1996
78,55 Cancri c,41,0.1714 Jupiters,5.96,2004
79,55 Cancri d,41,3.878 Jupiters,5.96,2002
80,55 Cancri e,41,7.99 Earths,5.96,2004
81,55 Cancri f,41,0.141 Jupiters,5.96,2007
82,61 Virginis b,28,5.1 Earths,4.735,2009
83,61 Virginis c,28,18.2 Earths,4.735,2009
84,61 Virginis d,28,22.9 Earths,4.735,2009
85,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
86,70 Virginis b,58,7.49 Jupiters,4.96808,1996
87,75 Ceti b,271,3 Jupiters,5.3532,2012
88,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
89,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
90,81 Ceti b,330,5.3 Jupiters,5.64307,2008
91,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
92,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
93,AB Aurigae b,529,9 Jupiters,7.076,2022
94,AB Pictoris b,163,13.5 Jupiters,9.13,2005
95,AF Leporis b,88,3.2 Jupiters,6.332,2023
96,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
97,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
98,AU Microscopii b,32,20.12 Earths,8.81,2020
99,AU Microscopii c,32,9.6 Earths,8.81,2021
100,b Centauri AB b,320,10.9 Jupiters,4.01,2021
101,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
102,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
103,BD-06 1339 b,66,8.5 Earths,9.7,2013
104,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
105,BD-08 2823 b,135,12.7132 Earths,9.86,2009
106,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
107,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
108,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
109,BD-11 4672 c,89,15.37 Earths,10.03,2020
110,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
111,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
112,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
113,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
114,BD-17 63 b,112,5.1 Jupiters,9.62,2008
115,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
116,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
117,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
118,BD+20 594 b,585,22.2481 Earths,10.849,2016
119,BD-210397 b,77,0.7 Jupiters,9.84,2023
120,BD-210397 c,77,2.4 Jupiters,9.84,2023
121,BD+45 564 b,175,1.36 Jupiters,9.67,2021
122,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
123,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
124,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
125,b Centauri AB b,320,10.9 Jupiters,4.01,2021
126,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
127,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
128,BD-06 1339 b,66,8.5 Earths,9.7,2013
129,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
130,BD-08 2823 b,135,12.7132 Earths,9.86,2009
131,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
132,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
133,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
134,BD-11 4672 c,89,15.37 Earths,10.03,2020
135,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
136,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
137,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
138,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
139,BD-17 63 b,112,5.1 Jupiters,9.62,2008
140,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
141,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
142,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
143,BD+20 594 b,585,22.2481 Earths,10.849,2016
144,BD-210397 b,77,0.7 Jupiters,9.84,2023
145,BD-210397 c,77,2.4 Jupiters,9.84,2023
146,BD+45 564 b,175,1.36 Jupiters,9.67,2021
147,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
148,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
149,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
150,b Centauri AB b,320,10.9 Jupiters,4.01,2021
151,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
152,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
153,BD-06 1339 b,66,8.5 Earths,9.7,2013
154,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
155,BD-08 2823 b,135,12.7132 Earths,9.86,2009
156,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
157,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
158,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
159,BD-11 4672 c,89,15.37 Earths,10.03,2020
160,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
161,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
162,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
163,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
164,BD-17 63 b,112,5.1 Jupiters,9.62,2008
165,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
166,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
167,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
168,BD+20 594 b,585,22.2481 Earths,10.849,2016
169,BD-210397 b,77,0.7 Jupiters,9.84,2023
170,BD-210397 c,77,2.4 Jupiters,9.84,2023
171,BD+45 564 b,175,1.36 Jupiters,9.67,2021
172,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
173,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
174,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
175,b Centauri AB b,320,10.9 Jupiters,4.01,2021
176,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
177,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
178,BD-06 1339 b,66,8.5 Earths,9.7,2013
179,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
180,BD-08 2823 b,135,12.7132 Earths,9.86,2009
181,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
182,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
183,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
184,BD-11 4672 c,89,15.37 Earths,10.03,2020
185,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
186,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
187,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
188,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
189,BD-17 63 b,112,5.1 Jupiters,9.62,2008
190,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
191,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
192,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
193,BD+20 594 b,585,22.2481 Earths,10.849,2016
194,BD-210397 b,77,0.7 Jupiters,9.84,2023
195,BD-210397 c,77,2.4 Jupiters,9.84,2023
196,BD+45 564 b,175,1.36 Jupiters,9.67,2021
197,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
198,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
199,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
200,b Centauri AB b,320,10.9 Jupiters,4.01,2021
201,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
202,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
203,BD-06 1339 b,66,8.5 Earths,9.7,2013
204,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
205,BD-08 2823 b,135,12.7132 Earths,9.86,2009
206,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
207,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
208,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
209,BD-11 4672 c,89,15.37 Earths,10.03,2020
210,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
211,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
212,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
213,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
214,BD-17 63 b,112,5.1 Jupiters,9.62,2008
215,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
216,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
217,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
218,BD+20 594 b,585,22.2481 Earths,10.849,2016
219,BD-210397 b,77,0.7 Jupiters,9.84,2023
220,BD-210397 c,77,2.4 Jupiters,9.84,2023
221,BD+45 564 b,175,1.36 Jupiters,9.67,2021
222,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
223,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
224,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
225,b Centauri AB b,320,10.9 Jupiters,4.01,2021
226,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
227,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
228,BD-06 1339 b,66,8.5 Earths,9.7,2013
229,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
230,BD-08 2823 b,135,12.7132 Earths,9.86,2009
231,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
232,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
233,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
234,BD-11 4672 c,89,15.37 Earths,10.03,2020
235,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
236,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
237,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
238,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
239,BD-17 63 b,112,5.1 Jupiters,9.62,2008
240,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
241,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
242,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
243,BD+20 594 b,585,22.2481 Earths,10.849,2016
244,BD-210397 b,77,0.7 Jupiters,9.84,2023
245,BD-210397 c,77,2.4 Jupiters,9.84,2023
246,BD+45 564 b,175,1.36 Jupiters,9.67,2021
247,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
248,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
249,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
