id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
1,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
2,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
3,14 Herculis b,58,8.053 Jupiters,6.61935,2002
4,16 Cygni B b,69,1.78 Jupiters,6.215,1996
5,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
6,18 Delphini b,249,10.3 Jupiters,5.51048,2008
7,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
8,24 Bootis b,313,0.91 Jupiters,5.59,2018
9,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
10,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
11,2M0437 b,419,4 Jupiters,16.186,2021
12,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
13,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
14,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
15,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
16,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
17,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
18,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
19,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
20,42 Draconis b,296,3.88 Jupiters,4.8262,2008
21,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
22,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
23,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
24,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
25,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
26,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
27,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
28,14 Herculis b,58,8.053 Jupiters,6.61935,2002
29,16 Cygni B b,69,1.78 Jupiters,6.215,1996
30,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
31,18 Delphini b,249,10.3 Jupiters,5.51048,2008
32,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
33,24 Bootis b,313,0.91 Jupiters,5.59,2018
34,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
35,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
36,2M0437 b,419,4 Jupiters,16.186,2021
37,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
38,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
49,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,8.053 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
74,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
75,51 Eridani b,97,2 Jupiters,5.21149,2015
76,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
77,55 Cancri b,41,0.8306 Jupiters,5.96,1996
78,55 Cancri c,41,0.1714 Jupiters,5.96,2004
79,55 Cancri d,41,3.878 Jupiters,5.96,2002
80,55 Cancri e,41,7.99 Earths,5.96,2004
81,55 Cancri f,41,0.141 Jupiters,5.96,2007
82,61 Virginis b,28,5.1 Earths,4.735,2009
83,61 Virginis c,28,18.2 Earths,4.735,2009
84,61 Virginis d,28,22.9 Earths,4.735,2009
85,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
86,70 Virginis b,58,7.49 Jupiters,4.96808,1996
87,75 Ceti b,271,3 Jupiters,5.3532,2012
88,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
89,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
90,81 Ceti b,330,5.3 Jupiters,5.64307,2008
91,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
92,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
93,AB Aurigae b,529,9 Jupiters,7.076,2022
94,AB Pictoris b,163,13.5 Jupiters,9.13,2005
95,AF Leporis b,88,3.2 Jupiters,6.332,2023
96,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
97,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
98,AU Microscopii b,32,20.12 Earths,8.81,2020
99,AU Microscopii c,32,9.6 Earths,8.81,2021
100,b Centauri AB b,320,10.9 Jupiters,4.01,2021
101,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
102,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
103,BD-06 1339 b,66,8.5 Earths,9.7,2013
104,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
105,BD-08 2823 b,135,12.7132 Earths,9.86,2009
106,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
107,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
108,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
109,BD-11 4672 c,89,15.37 Earths,10.03,2020
110,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
111,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
112,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
113,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
114,BD-17 63 b,112,5.1 Jupiters,9.62,2008
115,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
116,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
117,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
118,BD+20 594 b,585,22.2481 Earths,10.849,2016
119,BD-210397 b,77,0.7 Jupiters,9.84,2023
120,BD-210397 c,77,2.4 Jupiters,9.84,2023
121,BD+45 564 b,175,1.36 Jupiters,9.67,2021
122,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
123,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
124,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
125,b Centauri AB b,320,10.9 Jupiters,4.01,2021
126,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
127,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
128,BD-06 1339 b,66,8.5 Earths,9.7,2013
129,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
130,BD-08 2823 b,135,12.7132 Earths,9.86,2009
131,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
132,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
133,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
134,BD-11 4672 c,89,15.37 Earths,10.03,2020
135,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
136,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
137,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
138,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
139,BD-17 63 b,112,5.1 Jupiters,9.62,2008
140,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
141,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
142,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
143,BD+20 594 b,585,22.2481 Earths,10.849,2016
144,BD-210397 b,77,0.7 Jupiters,9.84,2023
145,BD-210397 c,77,2.4 Jupiters,9.84,2023
146,BD+45 564 b,175,1.36 Jupiters,9.67,2021
147,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
148,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
149,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
150,BD+55 362 b,171,0.72 Jupiters,9.38,2021
151,BD+60 1417 b,147,15 Jupiters,9.374,2021
152,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
153,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
154,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
155,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
156,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
157,CD Ceti b,28,3.95 Earths,13.95,2020
158,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
159,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
160,CHXR 73 b,621,12.569 Jupiters,,2006
161,CI Tauri b,515,11.6 Jupiters,13.642,2019
162,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
163,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
164,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
165,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
166,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
167,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
168,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
169,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
170,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
171,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
172,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
173,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
174,CoRoT-20 c,2753,17 Jupiters,14.63,2018
175,BD+55 362 b,171,0.72 Jupiters,9.38,2021
176,BD+60 1417 b,147,15 Jupiters,9.374,2021
177,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
178,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
179,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
180,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
181,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
182,CD Ceti b,28,3.95 Earths,13.95,2020
183,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
184,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
185,CHXR 73 b,621,12.569 Jupiters,,2006
186,CI Tauri b,515,11.6 Jupiters,13.642,2019
187,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
188,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
189,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
190,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
191,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
192,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
193,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
194,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
195,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
196,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
197,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
198,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
199,CoRoT-20 c,2753,17 Jupiters,14.63,2018
200,BD+55 362 b,171,0.72 Jupiters,9.38,2021
201,BD+60 1417 b,147,15 Jupiters,9.374,2021
202,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
203,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
204,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
205,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
206,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
207,CD Ceti b,28,3.95 Earths,13.95,2020
208,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
209,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
210,CHXR 73 b,621,12.569 Jupiters,,2006
211,CI Tauri b,515,11.6 Jupiters,13.642,2019
212,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
213,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
214,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
215,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
216,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
217,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
218,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
219,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
220,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
221,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
222,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
223,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
224,CoRoT-20 c,2753,17 Jupiters,14.63,2018
225,BD+55 362 b,171,0.72 Jupiters,9.38,2021
226,BD+60 1417 b,147,15 Jupiters,9.374,2021
227,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
228,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
229,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
230,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
231,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
232,CD Ceti b,28,3.95 Earths,13.95,2020
233,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
234,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
235,CHXR 73 b,621,12.569 Jupiters,,2006
236,CI Tauri b,515,11.6 Jupiters,13.642,2019
237,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
238,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
239,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
240,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
241,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
242,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
243,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
244,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
245,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
246,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
247,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
248,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
249,CoRoT-20 c,2753,17 Jupiters,14.63,2018
